Kód lokace;Èíslo zboí;Èíslo zboí dodavatele;Kód varianty;Popis zboí;Popis varianty;Zásoba;Prodejní jednotka;Jednotková cena;DPH %;Cena vè. DPH;Èárové kódy
01;82642;8009470013017;;MONGE FRESH - paštika a kousky s tuòákem 100 g pro psy;;272;KS;12,17;15;14;8009470013017
01;82643;8009470013024;;MONGE FRESH - paštika a kousky s krùtou 100 g pro psy;;355;KS;12,17;15;14;8009470013024
01;82644;8009470013031;;MONGE FRESH - paštika a kousky s kuøetem a zeleninou 100g;;225;KS;12,17;15;14;8009470013031
01;82645;8009470013048;;MONGE FRESH - paštika a kousky s kachnou 100 g pro psy;;351;KS;12,17;15;14;8009470013048
01;82646;8009470013055;;MONGE FRESH - paštika a kousky s jehnìèím 100 g pro psy;;194;KS;12,17;15;14;8009470013055
01;82647;8009470013062;;MONGE FRESH - paštika a kousky s kuøecím 100 g pro psy;;349;KS;12,17;15;14;8009470013062
01;82648;8009470013079;;MONGE FRESH - paštika a kousky s hovìzím 100 g pro psy;;379;KS;12,17;15;14;8009470013079
01;82649;8009470013086;;MONGE FRESH - paštika a kousky s lososem 100 g pro psy;;288;KS;12,17;15;14;8009470013086
01;82682;82682;;VF kapsièka KLEINER RACKER - køepelka + hruška 85 g pro psy;;173;KS;15,04;15;17,3;4017721826822
01;82683;82683;;VF kapsièka KLEINER RACKER - jehnìèí játra + jablka 85 g;;208;KS;15,04;15;17,3;4017721826839
01;82684;82684;;VF kapsièka KLEINER RACKER - telecí srdce + houby 85 g;;369;KS;15,04;15;17,3;4017721826846
01;82685;82685;;VF kapsièka KLEINER RACKER - koroptev + majoránka 85 g;;421;KS;15,04;15;17,3;4017721826853
01;82728;82728;;GRANCARNO JUNIOR - hovìzí, krùtí srdce 400g;;956;KS;25,39;15;29,2;4017721827287
01;82729;82729;;GRANCARNO JUNIOR - kuøe, králík 400g;;862;KS;25,39;15;29,2;4017721827294
01;82730;82730;;GRANCARNO Adult - masovı koktejl 400g;;618;KS;25,39;15;29,2;4017721827300
01;82731;82731;;GRANCARNO Adult -  srdce plus 400g;;1 474;KS;25,39;15;29,2;4017721827317
01;82732;82732;;GRANCARNO Adult - hovìzí, kuøe 400g;;1 098;KS;25,39;15;29,2;4017721827324
01;82733;82733;;GRANCARNO Adult - hovìzí, jehnìèí 400g;;432;KS;25,39;15;29,2;4017721827331
01;82734;82734;;GRANCARNO Adult - hovìzí + krùta 400g;;821;KS;25,39;15;29,2;4017721827348
01;82735;82735;;GRANCARNO Adult - hovìzí 400g;;432;KS;25,39;15;29,2;4017721827355
01;82736;82736;;GRANCARNO Adult - zvìøina plus 400g;;958;KS;25,39;15;29,2;4017721827362
01;82737;82737;;GRANCARNO Senior - telecí, jehnìèí 400g;;628;KS;25,39;15;29,2;4017721827379
01;82738;82738;;GRANCARNO Senior - kuøe, krùtí srdce 400g;;227;KS;25,39;15;29,2;4017721827386
01;82739;82739;;GRANCARNO Adult - multi masovı koktejl 800g;;121;KS;42,61;15;49;4017721827393
01;82740;82740;;GRANCARNO Adult - hovìzí, srdce 800g;;211;KS;42,61;15;49;4017721827409
01;82741;82741;;GRANCARNO Adult - hovìzí, kuøecí 800g;;289;KS;42,61;15;49;4017721827416
01;82742;82742;;GRANCARNO Adult - hovìzí, jehnìèí 800g;;245;KS;42,61;15;49;4017721827423
01;82744;82744;;GRANCARNO Adult - hovìzí 800g;;235;KS;42,61;15;49;4017721827447
01;82745;82745;;GRANCARNO Adult - kuøecí, zvìøina 800g;;139;KS;42,61;15;49;4017721827454
01;82746;82746;;GRANCARNO Adult - krùta, kachna 400g;;845;KS;25,39;15;29,2;4017721827461
01;82747;82747;;GRANCARNO Adult - krùta, kachna 800g;;-1;KS;42,61;15;49;4017721827478
01;82753;82753;;GRANCARNO Adult - jelení maso + jablka 400g;;0;KS;25,39;15;29,2;4017721827539
01;82754;82754;;GRANCARNO Adult - treska + špenát 400g;;589;KS;25,39;15;29,2;4017721827546
01;82755;82755;;GRANCARNO Adult - uzenı úhoø + brambory 400g;;327;KS;25,39;15;29,2;4017721827553
01;82756;82756;;GRANCARNO Adult - králík + bylinky 400g;;75;KS;25,39;15;29,2;4017721827560
01;82764;82764;;GRANCARNO Adult - jelení maso + jablka 800g;;50;KS;42,61;15;49;4017721827645
01;82765;82765;;GRANCARNO Adult - treska + špenát 800g;;350;KS;42,61;15;49;4017721827652
01;82766;82766;;GRANCARNO Adult - uzenı úhoø + brambory 800g;;114;KS;42,61;15;49;4017721827669
01;82767;82767;;GRANCARNO Adult - králík + bylinky 800g;;196;KS;42,61;15;49;4017721827676
01;82785;82785;;ANIMONDA kapsièka GRANCARNO EXOTIC - s buvolem 125 g pro psy;;152;KS;20,87;15;24;4017721827850
01;82786;82786;;ANIMONDA kapsièka GRANCARNO EXOTIC - s klokanem 125g pro psy;;231;KS;20,87;15;24;4017721827867
01;82787;82787;;ANIMONDA kapsièka GRANCARNO EXOTIC -se pštrosem 125g pro psy;;165;KS;20,87;15;24;4017721827874
01;82902;82902;;Masová tyè - drùbeí  50ks/bal.;;5;KS;517,57;15;595,2;4017721829021, 82902
01;82903;82903;;Masová tyè - jehnìèí 50ks/bal.;;3;KS;517,57;15;595,2;4017721829038
01;82904;82904;;Masová tyè - krùta  50ks/bal.;;5;KS;517,57;15;595,2;4017721829045
01;82912;82912;;ANIMONDA - masové pásky, bal 100 ks;;10 100;BAL;1,91;15;2,2;4017721829120
01;82913;82913;;ANIMONDA - masové tyèinky, bal. 100 ks;;0;BAL;1,91;15;2,2;4017721829137
01;82950;82950;;GranCarno granule JUNIOR 1 kg;;0;KS;72;15;82,8;4017721829502
01;82951;82951;;GranCarno granule JUNIOR 2,5kg;;0;KS;167,57;15;192,7;4017721829519
01;82952;82952;;GranCarno granule JUNIOR12,5kg;;0;KS;777,22;15;893,8;4017721829526
01;82953;82953;;GranCarno granule ADULT 1 kg;;0;KS;67,57;15;77,7;4017721829533
01;82954;82954;;GranCarno granule ADULT 2,5 kg;;0;KS;155,3;15;178,6;4017721829540
01;82955;82955;;GranCarno granule ADULT 12,5kg;;0;KS;714,96;15;822,2;4017721829557
